#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
406,,Andrei Radu,0,0,50,69.23,3,0.5
407,,Thanasis Triantafyllou,0,0,100,20,0,0.5
408,,Juan Domínguez,0.11,0,66.67,40.74,0.33,0.44
409,,Harouna Sy,0,0.07,53.85,54.05,1.13,1.13
410,,Jerson Cabral,0.29,0,50,44.44,0.86,0.29
411,,Gustavo Marmentini,0.17,0,0,12.5,0,0.33
412,,Sonny Stevens,0.17,0,0,100,0.17,0
413,,Ivan Varone,0,0,100,50,0,1
414,,Theodoros Vasilakakis,1,0,50,33.33,0,1
415,,Alexander Fransson,0,0,0,0,0,0.5
416,,Xavier,0,0,0,28.57,1,0
417,,Iason Kyrkos,0,0,0,100,0,0
